state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt566_selected_clause_de	owner_voice_working_clause_de	owner_bound_control_clause_de	owner_voice_changed	owner_voice_equals_owner_bound	adapter_card_count	adapter_card_ids	outer_template_id	structural_template_id	state_atom_alignment	guard
1455	G407-E4450	G407-S692	f95v	HERBAL	F95V_WHOLE_PLANT	olaiin	OL+AIIN	Weiter: halte den Wert.	Weiter: halte den Arbeitswert.	Weiter im laufenden Gang halte den Arbeitswert.	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T072	1:OL=weiter | 2:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1456	G407-E4453	G407-S692	f95v	HERBAL	F95V_WHOLE_PLANT	ldy	L+DY	Setze den Anteil; über die Verbindung; abschließen.	Setze den Materialanteil; über die Verbindung im Pflanzenartikel; schließe den Schritt.	Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; über die Verbindung im Pflanzenartikel; schließe den Schritt.	YES	NO	3	GDT567-A07|GDT567-A26|GDT567-A39	GDT565-O01	GDT565-T024	1:L=über die Verbindung | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1457	G407-E4458	G407-S693	f95v	HERBAL	F95V_WHOLE_PLANT	otain	OT+AIN	Danach: wähle den Anteil.	Danach: wähle den Materialanteil.	Danach im laufenden Gang wähle den Materialanteil.	YES	NO	1	GDT567-A07	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1458	G407-E4459	G407-S694	f95v	HERBAL	F95V_WHOLE_PLANT	olteedy	OL+T+EE+DY	Weiter: stelle den Anteil ein; auf Grad II; abschließen.	Weiter: stelle den Materialanteil ein; auf Grad II; schließe den Schritt.	Weiter stelle den Materialanteil [wie zuvor] ein; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A07|GDT567-A39	GDT565-O04	GDT565-T107	1:OL=weiter | 2:T=einstellen | 3:EE=auf Grad II | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1459	G407-E4472	G407-S695	f95v	HERBAL	F95V_WHOLE_PLANT	otar	OT+AR	Danach: setze den Anteil; vom Ausgang.	Danach: setze den Materialanteil; vom Ausgangsmaterial.	Danach im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES	NO	2	GDT567-A07|GDT567-A25	GDT565-O03	GDT565-T140	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1460	G407-E4473	G407-S695	f95v	HERBAL	F95V_WHOLE_PLANT	oty	OT+Y	Danach: setze den Posten.	Danach: setze den Pflanzenposten.	Danach im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1461	G407-E4474	G407-S695	f95v	HERBAL	F95V_WHOLE_PLANT	qokedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Pflanzenposten; auf Grad I; schließe den Schritt.	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1462	G407-E4475	G407-S696	f95v	HERBAL	F95V_WHOLE_PLANT	otal	OT+AL	Danach: setze den Posten; zum Zielort.	Danach: setze den Pflanzenposten; zur Zielstelle.	Danach im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	YES	NO	2	GDT567-A05|GDT567-A24	GDT565-O03	GDT565-T140	1:OT=danach | 2:AL=zum Zielort	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1463	G407-E4479	G407-S696	f95v	HERBAL	F95V_WHOLE_PLANT	tchody	T+CH+O+DY	Stelle den Posten ein und nimm den Posten; zur Ausführung; abschließen.	Stelle den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung; schließe den Schritt.	Stelle den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T032	1:T=einstellen | 2:CH=nehmen | 3:O=zur Ausführung | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1464	G407-E4486	G407-S697	f95v	HERBAL	F95V_WHOLE_PLANT	chcthykedy	CH+CH+T+Y+K+E+DY	Nimm den Posten zweimal und stelle den Posten ein und gib den Posten; auf Grad I; abschließen.	Nimm den Pflanzenposten zweimal und stelle den Pflanzenposten ein und gib den Pflanzenposten; auf Grad I; schließe den Schritt.	Nimm den Pflanzenposten, nimm den Pflanzenposten, stelle den Pflanzenposten ein und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T047	1:CH=nehmen | 2:CH=nehmen | 3:T=einstellen | 4:Y=den Posten | 5:K=geben | 6:E=auf Grad I | 7:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1465	G407-E4492	G407-S698	f95v	HERBAL	F95V_WHOLE_PLANT	oty	OT+Y	Danach: setze den Posten.	Danach: setze den Pflanzenposten.	Danach im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1466	G407-E4494	G407-S698	f95v	HERBAL	F95V_WHOLE_PLANT	otaldy	OT+AL+DY	Danach: halte den Posten; zum Zielort; abschließen.	Danach: halte den Pflanzenposten; zur Zielstelle; schließe den Schritt.	Danach im laufenden Gang halte den Pflanzenposten [wie zuvor]; zur Zielstelle; schließe den Schritt.	YES	NO	3	GDT567-A05|GDT567-A24|GDT567-A39	GDT565-O04	GDT565-T161	1:OT=danach | 2:AL=zum Zielort | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1467	G407-E4496	G407-S699	f95v	HERBAL	F95V_WHOLE_PLANT	ytshedy	Y+T+SH+E+DY	Stelle den Posten ein und halte den Posten; auf Grad I; abschließen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; auf Grad I; schließe den Schritt.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; auf Grad I; schließe den Schritt.	YES	YES	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T034	1:Y=den Posten | 2:T=einstellen | 3:SH=halten | 4:E=auf Grad I | 5:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1468	G407-E4500	G407-S700	f95v	HERBAL	F95V_WHOLE_PLANT	otal	OT+AL	Danach: bearbeite den Posten; zum Zielort.	Danach: bearbeite den Pflanzenposten; zur Zielstelle.	Danach im laufenden Gang bearbeite den Pflanzenposten [wie zuvor]; zur Zielstelle.	YES	NO	2	GDT567-A05|GDT567-A24	GDT565-O03	GDT565-T140	1:OT=danach | 2:AL=zum Zielort	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1469	G407-E4501	G407-S700	f95v	HERBAL	F95V_WHOLE_PLANT	shedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Pflanzenposten; auf Grad I; schließe den Schritt.	Halte den Pflanzenposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1470	G407-E4506	G407-S702	f95v	HERBAL	F95V_WHOLE_PLANT	dchdy	CHD+DY	Bearbeite den Posten; abschließen.	Bearbeite den Pflanzenposten; schließe den Schritt.	Bearbeite den Pflanzenposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O02	GDT565-T023	1:CHD=bearbeiten | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1471	G407-E4507	G407-S703	f95v	HERBAL	F95V_WHOLE_PLANT	shedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Pflanzenposten; auf Grad I; schließe den Schritt.	Halte den Pflanzenposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1472	G407-E4510	G407-S704	f95v	HERBAL	F95V_WHOLE_PLANT	otchdy	OT+CHD+DY	Danach: bearbeite den Posten; abschließen.	Danach: bearbeite den Pflanzenposten; schließe den Schritt.	Danach bearbeite den Pflanzenposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O06	GDT565-T160	1:OT=danach | 2:CHD=bearbeiten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1473	G407-E4511	G407-S705	f95v	HERBAL	F95V_WHOLE_PLANT	ol	OL	Weiter: bearbeite den Posten.	Weiter: bearbeite den Pflanzenposten.	Weiter im laufenden Gang bearbeite den Pflanzenposten [wie zuvor].	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1474	G407-E4517	G407-S705	f95v	HERBAL	F95V_WHOLE_PLANT	olkar	OL+K+AR	Weiter: gib den Anteil; vom Ausgang.	Weiter: gib den Materialanteil; vom Ausgangsmaterial.	Weiter gib den Materialanteil [wie zuvor] zu; vom Ausgangsmaterial.	YES	NO	2	GDT567-A07|GDT567-A25	GDT565-O03	GDT565-T073	1:OL=weiter | 2:K=geben | 3:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1475	G407-E4520	G407-S705	f95v	HERBAL	F95V_WHOLE_PLANT	otar	OT+AR	Danach: stelle den Posten ein; vom Ausgang.	Danach: stelle den Pflanzenposten ein; vom Ausgangsmaterial.	Danach im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; vom Ausgangsmaterial.	YES	NO	2	GDT567-A05|GDT567-A25	GDT565-O03	GDT565-T140	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1476	G407-E4523	G407-S705	f95v	HERBAL	F95V_WHOLE_PLANT	dolkain	D_ADDR+OL+K+AIN	Weiter: gib den Anteil; hier.	Weiter: gib den Materialanteil; an der bezeichneten Stelle.	Weiter gib den Materialanteil zu; an der bezeichneten Stelle.	YES	NO	2	GDT567-A07|GDT567-A38	GDT565-O03	GDT565-T068	1:D_ADDR=hier | 2:OL=weiter | 3:K=geben | 4:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1477	G407-E4524	G407-S705	f95v	HERBAL	F95V_WHOLE_PLANT	otardy	OT+AR+DY	Danach: gib den Anteil; vom Ausgang; abschließen.	Danach: gib den Materialanteil; vom Ausgangsmaterial; schließe den Schritt.	Danach im laufenden Gang gib den Materialanteil [wie zuvor] zu; vom Ausgangsmaterial; schließe den Schritt.	YES	NO	3	GDT567-A07|GDT567-A25|GDT567-A39	GDT565-O04	GDT565-T161	1:OT=danach | 2:AR=vom Ausgang | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1478	G407-E4525	G407-S706	f95v	HERBAL	F95V_WHOLE_PLANT	dchody	D_ADDR+CH+O+DY	Nimm den Anteil; hier; zur Ausführung; abschließen.	Nimm den Materialanteil; an der bezeichneten Stelle; zur Ausführung; schließe den Schritt.	Nimm den Materialanteil [wie zuvor]; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	YES	NO	3	GDT567-A07|GDT567-A38|GDT567-A39	GDT565-O01	GDT565-T017	1:D_ADDR=hier | 2:CH=nehmen | 3:O=zur Ausführung | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1479	G407-E4531	G407-S707	f95v	HERBAL	F95V_WHOLE_PLANT	okedy	OK+E+DY	Setze den Wert; auf Grad I; abschließen.	Setze den Arbeitswert; auf Grad I; schließe den Schritt.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1480	G407-E4532	G407-S708	f95v	HERBAL	F95V_WHOLE_PLANT	okchedy	OK+CHD+DY	Setze den Wert und bearbeite den Wert; abschließen.	Setze den Arbeitswert und bearbeite den Arbeitswert; schließe den Schritt.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an und bearbeite den Arbeitswert [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O02	GDT565-T037	1:OK=setzen | 2:CHD=bearbeiten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1481	G407-E4535	G407-S709	f95v	HERBAL	F95V_WHOLE_PLANT	ol	OL	Weiter: stelle den Wert ein.	Weiter: stelle den Arbeitswert ein.	Weiter im laufenden Gang stelle den Arbeitswert [wie zuvor] ein.	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1482	G407-E4537	G407-S709	f95v	HERBAL	F95V_WHOLE_PLANT	shol	SH+OL	Weiter: halte den Wert.	Weiter: halte den Arbeitswert.	Weiter halte den Arbeitswert [wie zuvor].	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1483	G407-E4543	G407-S709	f95v	HERBAL	F95V_WHOLE_PLANT	skchdy	S+K+CHD+DY	Wähle den Posten und gib den Posten und bearbeite den Posten; abschließen.	Wähle den Pflanzenposten und gib den Pflanzenposten und bearbeite den Pflanzenposten; schließe den Schritt.	Wähle den Pflanzenposten [wie zuvor], gib den Pflanzenposten [wie zuvor] zu und bearbeite den Pflanzenposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A05|GDT567-A39	GDT565-O02	GDT565-T044	1:S=wählen | 2:K=geben | 3:CHD=bearbeiten | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1484	G407-E4550	G407-S710	f95v	HERBAL	F95V_WHOLE_PLANT	otain	OT+AIN	Danach: bearbeite den Anteil.	Danach: bearbeite den Materialanteil.	Danach im laufenden Gang bearbeite den Materialanteil.	YES	NO	1	GDT567-A07	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1485	G407-E4553	G407-S711	f95v	HERBAL	F95V_WHOLE_PLANT	shedy	SH+E+DY	Halte den Wert; auf Grad I; abschließen.	Halte den Arbeitswert; auf Grad I; schließe den Schritt.	Halte den Arbeitswert [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1486	G407-E4554	G407-S712	f95v	HERBAL	F95V_WHOLE_PLANT	kshedy	K+SH+E+DY	Gib den Wert und halte den Wert; auf Grad I; abschließen.	Gib den Arbeitswert und halte den Arbeitswert; auf Grad I; schließe den Schritt.	Gib den Arbeitswert [wie zuvor] zu und halte den Arbeitswert [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O01	GDT565-T034	1:K=geben | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1487	G407-E4555	G407-S713	f95v	HERBAL	F95V_WHOLE_PLANT	qotches	OT+CH+E+S	Danach: nimm den Wert und wähle den Wert; auf Grad I.	Danach: nimm den Arbeitswert und wähle den Arbeitswert; auf Grad I.	Danach nimm den Arbeitswert [wie zuvor] und wähle den Arbeitswert [wie zuvor]; auf Grad I.	YES	NO	1	GDT567-A06	GDT565-O03	GDT565-T145	1:OT=danach | 2:CH=nehmen | 3:E=auf Grad I | 4:S=wählen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1488	G407-E4559	G407-S713	f95v	HERBAL	F95V_WHOLE_PLANT	otain	OT+AIN	Danach: gib den Anteil.	Danach: gib den Materialanteil.	Danach im laufenden Gang gib den Materialanteil zu.	YES	NO	1	GDT567-A07	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1489	G407-E4562	G407-S713	f95v	HERBAL	F95V_WHOLE_PLANT	shotshey	SH+OT+SH+E+Y	Danach: halte den Posten und halte den Posten; auf Grad I.	Danach: halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I.	Danach halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I.	YES	NO	1	GDT567-A05	GDT565-O03	GDT565-T145	1:SH=halten | 2:OT=danach | 3:SH=halten | 4:E=auf Grad I | 5:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1490	G407-E4565	G407-S713	f95v	HERBAL	F95V_WHOLE_PLANT	ody	O+DY	Wähle den Wert; zur Ausführung; abschließen.	Wähle den Arbeitswert; zur Ausführung; schließe den Schritt.	Im laufenden Gang wähle den Arbeitswert [wie zuvor]; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O01	GDT565-T006	1:O=zur Ausführung | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1491	G407-E4566	G407-S714	f95v	HERBAL	F95V_WHOLE_PLANT	olkchdy	OL+K+CHD+Y	Weiter: gib den Posten und bearbeite den Posten.	Weiter: gib den Pflanzenposten und bearbeite den Pflanzenposten.	Weiter gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T094	1:OL=weiter | 2:K=geben | 3:CHD=bearbeiten | 4:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1492	G407-E4567	G407-S714	f95v	HERBAL	F95V_WHOLE_PLANT	qotaiin	OT+AIIN	Danach: bearbeite den Wert.	Danach: bearbeite den Arbeitswert.	Danach im laufenden Gang bearbeite den Arbeitswert.	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1493	G407-E4569	G407-S714	f95v	HERBAL	F95V_WHOLE_PLANT	dolkchy	D_ADDR+OL+K+Y	Weiter: gib den Posten; hier.	Weiter: gib den Pflanzenposten; an der bezeichneten Stelle.	Weiter gib den Pflanzenposten zu; an der bezeichneten Stelle.	YES	NO	2	GDT567-A05|GDT567-A38	GDT565-O03	GDT565-T068	1:D_ADDR=hier | 2:OL=weiter | 3:K=geben | 4:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1494	G407-E4575	G407-S714	f95v	HERBAL	F95V_WHOLE_PLANT	otody	OT+O+DY	Danach: setze den Wert; zur Ausführung; abschließen.	Danach: setze den Arbeitswert; zur Ausführung; schließe den Schritt.	Danach im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A06|GDT567-A39	GDT565-O04	GDT565-T156	1:OT=danach | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1495	G515-E0002	G515-S001	f4r	HERBAL	F4R_WHOLE_PLANT	chpady	CH+P+A_ADDR+DY	Nimm den Posten und setze den Posten ein; hier; abschließen.	Nimm den Pflanzenposten und setze den Pflanzenposten ein; an der bezeichneten Stelle; schließe den Schritt.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	YES	NO	3	GDT567-A05|GDT567-A38|GDT567-A39	GDT565-O01	GDT565-T036	1:CH=nehmen | 2:P=einsetzen | 3:A_ADDR=hier | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1496	G515-E0003	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	sheol	SH+E+OL	Weiter: halte; auf Grad I.	Weiter: halte; auf Grad I.	Halte; auf Grad I; führe fort.	NO	NO	0	NONE	GDT565-O03	GDT565-T052	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1497	G515-E0004	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	ol	OL	Weiter: halte.	Weiter: halte.	Im laufenden Satz halte; führe fort.	NO	NO	0	NONE	GDT565-O05	GDT565-T054	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1498	G515-E0006	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	qotey	OT+E+Y	Danach: halte den Posten; auf Grad I.	Danach: halte den Pflanzenposten; auf Grad I.	Danach: im laufenden Satz halte den Pflanzenposten; auf Grad I.	YES	NO	1	GDT567-A05	GDT565-O03	GDT565-T127	1:OT=danach | 2:E=auf Grad I | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1499	G515-E0011	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	shol	SH+OL	Weiter: halte die Einheit.	Weiter: halte die Arbeitseinheit.	Halte die Arbeitseinheit [wie zuvor]; führe fort.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1500	G515-E0012	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	shol	SH+OL	Weiter: halte die Einheit.	Weiter: halte die Arbeitseinheit.	Halte die Arbeitseinheit [wie zuvor]; führe fort.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1501	G515-E0013	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	cthol	CH+T+OL	Weiter: nimm die Einheit und stelle die Einheit ein.	Weiter: nimm die Arbeitseinheit und stelle die Arbeitseinheit ein.	Nimm die Arbeitseinheit [wie zuvor] und stelle die Arbeitseinheit [wie zuvor] ein; führe fort.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T094	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1502	G515-E0019	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	otchol	OT+CH+OL	Danach: nimm den Wert; weiterführen.	Danach: nimm den Arbeitswert; weiterführen.	Danach: nimm den Arbeitswert [wie zuvor]; führe fort.	YES	NO	1	GDT567-A06	GDT565-O06	GDT565-T167	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1503	G515-E0020	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	chol	OL	Weiter: nimm den Wert.	Weiter: nimm den Arbeitswert.	Im laufenden Satz nimm den Arbeitswert [wie zuvor]; führe fort.	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1504	G515-E0023	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	qotaiin	OT+AIIN	Danach: nimm den Wert.	Danach: nimm den Arbeitswert.	Danach: im laufenden Satz nimm den Arbeitswert.	YES	NO	1	GDT567-A06	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1505	G515-E0026	G515-S002	f4r	HERBAL	F4R_WHOLE_PLANT	qotchol	OT+CH+OL	Danach: nimm den Anteil; weiterführen.	Danach: nimm den Materialanteil; weiterführen.	Danach: nimm den Materialanteil [wie zuvor]; führe fort.	YES	NO	1	GDT567-A07	GDT565-O06	GDT565-T167	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1506	G515-E0033	G515-S003	f4r	HERBAL	F4R_WHOLE_PLANT	qotchy	OT+Y	Danach: setze den Posten ein.	Danach: setze den Pflanzenposten ein.	Danach: im laufenden Satz setze den Pflanzenposten ein.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1507	G515-E0035	G515-S003	f4r	HERBAL	F4R_WHOLE_PLANT	tydy	T+Y+DY	Stelle den Posten ein; abschließen.	Stelle den Pflanzenposten ein; schließe den Schritt.	Stelle den Pflanzenposten ein; schließe den Schritt.	YES	YES	2	GDT567-A05|GDT567-A39	GDT565-O02	GDT565-T023	1:T=einstellen | 2:Y=den Posten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
